1997-04-21 00:00:00+02|pédophile|fille|-1|Boire, fumer, se droguer|La Galère|Tcho, c'est encor moi, Charlote. Je me suis fais drogué par ma mère à l^hére et toujours violé par les hommes de la maison.j'ai vraiment envi de faite le grand saut, de me couper les veines uo d'avaler un eboite de calmant, le pire c'est que mon vrai père est revenu et il commence à me prosituer.|Entourage
1997-04-29 00:00:00+02|nada|fille|-1|Boire, fumer, se droguer|libéralisation|Quelle position prennez-vous face à la libéralisation des drogues douces et dures ?|Autre
1997-05-29 00:00:00+02|boris|garcon|26|Boire, fumer, se droguer|Alcoolisme|"A partir de quand devient on alcolique. Est-ce que ce souler la gueuele 3 fois par semaine peut-être considéré comme être alcolique.
    J'aimerais aussi savoir, si c'est normal que (environ) trois jours après avoir arrêté de boire, j'ai des migraines  pas impossible. Est-ce que ca veut dire que je suis alcolique???"|Cannabis & tabagisme
1997-06-12 00:00:00+02|smoke|garcon|-1|Boire, fumer, se droguer|always smoking on the night..|"Salut, a vous, et oui, les questions sur le drogue, et assez presente dans les gneres de soirées ou je me trouve souvent à Genève, et oui, je voulais voue en parler un peu, enfin que dois-je faire pour éviter cela, pour ne pas tomber dans ce trou, même si la conso de hasisch, n'est selon des personnes pas si grave que ça, mais le problème reste reélle, dans ces soirées, ok ""pose ta question"", en faite c'est plutot raconte la realité, je pense que ça sera tout pour cette decouverte de site, en faite, grace à ""Magellan"", une émission que vous devez connaitre qui a fait de la pub, pour vous, et qui a donner votre adresse, ......salut....."|Substance
1997-06-24 00:00:00+02|gij|garcon|-1|Boire, fumer, se droguer|Haschich|J'ai deux amis qui fument des cannes et je trouve qu'ils perdent leur dynaisme. Coment faire pour les faire bouger ?|Entourage
1997-07-16 00:00:00+02|alfred|indefini|-1|Boire, fumer, se droguer|Dépendances|L'abus d'alcool est-il vraiment dangereux ? A partir de quand sommes-nous dépendants ?|Alcool
1997-07-16 00:00:00+02|stup|garcon|22|Boire, fumer, se droguer|Haschich, santé|Je fume quelques joints par jour depuis 5 ans et j'en ai 23, qu'en est-il des quantités de goudron absorbées ? A combien de cigarettes Marlboro Light cela correspond-il ?|Cannabis & tabagisme
1997-07-16 00:00:00+02|bock|fille|17|Boire, fumer, se droguer|Alcool, arrêter|J'ai un ami qui boit et quoi que je dise, il me répond qu'il faut bien que jeunesse se fasse. Je ne suis pas la première à essayer de l'aider et pour finir nous perdons tous courage. Que faire ?|Entourage
1997-07-16 00:00:00+02|dan|garcon|17|Boire, fumer, se droguer|Haschich, sexualité|Depuis que j'ai arrêté de fumer des cannes, ça ne va pas en fait avec ma copine. Ce n'est plus pareil, j'ai l'orgasme qui vient trop vite, alors qu'avant ça allait nichel... Que dois-je faire ?|Entourage
1997-07-16 00:00:00+02|tds|indefini|-1|Boire, fumer, se droguer|Méthadone, caractéristiques|Quel pourcentage de gens qui font une cure à la méthadone arriventà s'en sortir ?|Autre
1997-07-16 00:00:00+02|vieuxchevron|indefini|-1|Boire, fumer, se droguer|Alcool, caractéristiques|L'alcool est une drogue dure ou une drogue douce ?|Substance
1997-07-16 00:00:00+02|gij|garcon|-1|Boire, fumer, se droguer|Haschich, conséquences|Peut-on avoir une dépendance autre que psychologique, lorsque l'on est consommateur de H ? Y a-t-il des effets descructifs sur le cerveau ou autre partie du corps ? Y a-t-il des effets indésirables connus mis à part  le fait d'être cassé ?|Substance
1997-07-16 00:00:00+02|Ganja|indefini|-1|Boire, fumer, se droguer|Haschich, législation|Je pense que le H est de loin la substance la moins nocive si on la compare à l'alcool ou aux médicaments qui eux,contrairement au H rendent dépendant et peuvent tuer le consommateur. C'estpourquoi je n'arrive pas à comprendre pourquoi le H n'est pas encore légal: qu'en pensez-vous ?|Substance
1997-07-16 00:00:00+02|Ganja|indefini|-1|Boire, fumer, se droguer|Haschich, caractéristiques|Combien de temps le H reste-t-il dans le corps après avoir été consommé ? Est-ce la même durée que pour l'opium ?|Substance
1997-07-16 00:00:00+02|anonyme|garcon|15|Boire, fumer, se droguer|Amour,  dépendance|Je sors avec ma copine depuis 1 mois et elle boit de l'alcool et fume des joints et moi je ne bois pas et je ne fume pas, car j'ai peur de devenir accro. Maintenant, elle m'a dit qu'elle voulait commencer les drogues dures et j'ai peur de tomber à cause d'elle. Que dois-je faire car je l'aime, je ne veux pas la quitter pour une raison dont elle peut en sortir. Aidez-moi, je vous en supplie. Merci.|Cannabis & tabagisme
1997-08-04 00:00:00+02|alessandra|fille|-1|Boire, fumer, se droguer|Overdose de cannabis|Je voudrais savoir si on peut faire une overdose en fumant du cannabis?|Autre
1997-08-06 00:00:00+02|hello|fille|17|Boire, fumer, se droguer|dangers du H.|"Bonjour!
    J'ai lu les différents textes de concernant les drogues qui se trouvent sur ce serveur!
    Je me demande s'il est vraiment dangereux de fumer un joint une fois par mois ou quelque chose comme ça, si vraiment cela peut m'amener à une consommation plus importante.
    Je disais cela car je connais beaucoup de personnes de mon age (M et F confondus) , sans aucun doute plus de la moitié, qui fument à cette cadence à peu près, et aucun de nous n'a jamais été plus loin....Il serait d'ailleurs plus juste de dire trois fois durant un mois, puis plus du tout durant une demi-année....
    
    D'autre part, je ne fumerai pas pour résoudre des problèmes ou quoi que ce soit d'autre, mais simlpement comme ca! Merci de votre réponse!!
    
    "|Entourage
